Strike,BidVolP,AskVolP,BidVolC,AskVolC
2.4,NaN,1.1542,0.52435,0.5659
2.45,NaN,2.0291,0.53336,0.6148
2.5,NaN,2.0444,0.57572,0.66224
2.55,NaN,2.1321,0.6586,0.7083
2.6,NaN,2.2176,0.65703,0.73026
2.3,NaN,1.7297,0.4631,0.49758
2.35,NaN,1.8347,0.49846,0.52953
2.2,NaN,0.64624,0.40739,0.42868
2.25,NaN,1.6161,0.43101,0.45632
2.1,NaN,0.48567,0.39415,0.42377
2.15,NaN,0.55441,0.39375,0.40933
2.05,0.35049,0.39346,0.37202,0.38078
2,0.32363,0.37453,0.36514,0.38029
1.95,0.35459,0.36068,0.35944,0.36205
1.85,0.34851,0.35903,0.31695,0.45028
1.9,0.35023,0.36325,0.34213,0.36023
1.8,0.35707,0.37886,0.37053,0.38839
